When_,Which_of_the_following_challeng,Which_of_the_following_challe_1,Which_of_the_following_challe_2,Which_of_the_following_challe_3,Which_of_the_following_challe_4,Which_of_the_following_challe_5,Do_you_like_being_engaged_throu,Do_you_like_being_engaged_thr_1,Do_you_like_being_engaged_thr_2,What_neighborhood_do_you_live_i,What_neighborhood_do_you_live_1,Age___value,Gender___value,Education___value,Country_of_Origin,Preferred_Language,Annual_Income___value,Ballot,Locale,FID
2018-02-08T16:03:12.000Z,0,0,0,1,1,0,1,0,0,I live outside of the City,,43 - 60,Female,Graduate or Professional Degree,U.S.A,English,"$75,000 - $99,999",,en,69
2018-02-15T16:10:51.000Z,0,0,1,0,0,1,1,0,0,I live outside of the City,,> 60,Female,Graduate or Professional Degree,,,,,en,70
2018-02-07T18:57:19.000Z,-1,0,1,0,1,0,1,0,0,Tipp Hill,,43 - 60,Male,Bachelors Degree,,,"$100,000 - $149,999",,en,71
2018-02-20T15:29:35.000Z,0,0,1,0,1,-1,0,0,0,Northside,,43 - 60,Male,Some College,,,"$50,000 - $74,999",,en,72
2018-02-09T19:54:30.000Z,1,0,0,1,0,0,0,1,0,Westcott,,> 60,Female,Graduate or Professional Degree,,,,,en,73
2018-02-01T02:39:18.000Z,0,1,1,0,0,0,1,0,0,South Valley,,19 - 42,Male,Bachelors Degree,,,"$50,000 - $74,999",,en,74
2018-02-20T16:12:16.000Z,0,0,0,0,1,0,0,0,0,Southside,,43 - 60,Female,Some College,,,,,en,75
2018-02-12T03:40:29.000Z,-1,1,0,1,0,0,1,0,0,I live outside of the City,,43 - 60,Female,Associates Degree,usa,english,"$25,000 - $34,999",,en,76
2018-02-14T13:59:31.000Z,0,1,0,-1,0,1,1,0,0,Salt Springs,,> 60,Female,Associates Degree,,,,,en,77
2018-02-09T15:24:40.000Z,1,0,0,-1,0,1,1,0,0,Westcott,,43 - 60,Female,Bachelors Degree,,,"$75,000 - $99,999",,en,78
2018-01-31T23:46:45.000Z,1,0,0,1,0,0,1,0,0,Winkworth,,43 - 60,Male,Graduate or Professional Degree,Usa,,,,en,79
2018-02-20T15:25:42.000Z,-1,0,1,0,1,0,0,0,0,South Valley,,> 60,Male,Some College,Usa,English,"$35,000 - $49,999",,en,80
2018-02-07T21:04:02.000Z,1,0,0,1,0,0,1,0,0,University Neighborhood,,> 60,Female,Bachelors Degree,,,,,en,81
2018-02-20T15:15:51.000Z,-1,1,0,1,0,0,0,0,0,Northside,,19 - 42,Male,Bachelors Degree,,,,,en,82
2018-01-31T23:08:46.000Z,0,0,0,0,1,1,1,0,0,I live outside of the City,,43 - 60,Male,Graduate or Professional Degree,,,"$75,000 - $99,999",,en,83
2018-02-02T14:25:38.000Z,0,-1,0,1,1,0,1,0,0,University Neighborhood,,19 - 42,Male,Some College,,,,,en,84
2018-02-20T15:50:08.000Z,1,0,0,1,0,0,0,0,0,Westcott,,> 60,Female,Less than high school,,,"$10,000 - $14,999",,en,85
2018-02-20T16:17:29.000Z,0,1,0,1,0,0,0,0,0,Outer Comstock,,43 - 60,Female,High School or GED,,,,,en,86
2018-02-20T16:11:20.000Z,0,0,1,0,1,0,0,0,0,Sedgwick,,43 - 60,Female,Less than high school,,,,,en,87
2018-02-07T18:28:18.000Z,1,0,0,0,0,1,0,1,0,Strathmore,,19 - 42,Female,Bachelors Degree,,,"$75,000 - $99,999",,en,88
2018-02-20T15:57:45.000Z,0,1,1,0,-1,0,0,0,0,Other,library,< 18,Other,Less than high school,,,,,en,89
2018-02-13T23:21:14.000Z,0,1,0,0,0,1,0,1,0,Westcott,,43 - 60,Female,Graduate or Professional Degree,,,"$50,000 - $74,999",,en,90
2018-02-01T01:01:22.000Z,1,1,-1,0,0,0,0,1,0,Northside,,19 - 42,Female,Graduate or Professional Degree,,,,,en,91
2018-02-07T16:21:11.000Z,0,1,0,0,0,1,0,1,0,Tipp Hill,,> 60,Female,Graduate or Professional Degree,US,english,"$35,000 - $49,999",,en,92
